Continent,Country,Segment,Types,CAGR,Attribute,Value
North America,United States,Product,Mineral Water,0.07,2025,2931.789005
North America,United States,Product,Mineral Water,0.07,2026,3145.626819
North America,United States,Product,Mineral Water,0.07,2027,3381.302005
North America,United States,Product,Mineral Water,0.07,2028,3641.342806
North America,United States,Product,Mineral Water,0.07,2029,3928.60696
North America,United States,Product,Mineral Water,0.07,2030,4246.328434
North America,United States,Product,Others,0.08,2017,481.1927875
North America,United States,Product,Others,0.08,2018,512.5423649
North America,United States,Product,Others,0.08,2019,547.0786705
North America,United States,Product,Others,0.08,2020,396.4635992
North America,United States,Product,Others,0.08,2021,422.1817467
North America,United States,Product,Others,0.08,2022,450.8320865
North America,United States,Product,Others,0.08,2023,482.3226648
North America,United States,Product,Others,0.08,2024,516.9714514
North America,United States,Product,Others,0.08,2025,555.1368353
North America,United States,Product,Others,0.08,2026,597.2232192
North America,United States,Product,Others,0.08,2027,643.6874508
North America,United States,Product,Others,0.08,2028,695.0462259
North America,United States,Product,Others,0.08,2029,751.884617
North America,United States,Product,Others,0.08,2030,814.8659136
North America,United States,Distribution Channel,Supermarkets & Hypermarkets,0.07,2017,2565.419519
North America,United States,Distribution Channel,Supermarkets & Hypermarkets,0.07,2018,2718.875708
North America,United States,Distribution Channel,Supermarkets & Hypermarkets,0.07,2019,2887.558408
North America,United States,Distribution Channel,Supermarkets & Hypermarkets,0.07,2020,1829.793146
North America,United States,Distribution Channel,Supermarkets & Hypermarkets,0.07,2021,2045.265848
North America,United States,Distribution Channel,Supermarkets & Hypermarkets,0.07,2022,2172.581293
North America,United States,Distribution Channel,Supermarkets & Hypermarkets,0.07,2023,2302.829114
North America,United States,Distribution Channel,Supermarkets & Hypermarkets,0.07,2024,2445.425948
North America,United States,Distribution Channel,Supermarkets & Hypermarkets,0.07,2025,2601.67475
North America,United States,Distribution Channel,Supermarkets & Hypermarkets,0.07,2026,2773.037395
North America,United States,Distribution Channel,Supermarkets & Hypermarkets,0.07,2027,2961.155745
North America,United States,Distribution Channel,Supermarkets & Hypermarkets,0.07,2028,3167.875755
North America,United States,Distribution Channel,Supermarkets & Hypermarkets,0.07,2029,3395.275087
North America,United States,Distribution Channel,Supermarkets & Hypermarkets,0.07,2030,3645.694771
North America,United States,Distribution Channel,Specialty Stores,0.08,2017,1310.023734
North America,United States,Distribution Channel,Specialty Stores,0.08,2018,1397.837161
North America,United States,Distribution Channel,Specialty Stores,0.08,2019,1494.667059
North America,United States,Distribution Channel,Specialty Stores,0.08,2020,1085.093024
North America,United States,Distribution Channel,Specialty Stores,0.08,2021,1157.532457
North America,United States,Distribution Channel,Specialty Stores,0.08,2022,1238.282438
North America,United States,Distribution Channel,Specialty Stores,0.08,2023,1327.134168
North America,United States,Distribution Channel,Specialty Stores,0.08,2024,1425.007259
North America,United States,Distribution Channel,Specialty Stores,0.08,2025,1532.939461
North America,United States,Distribution Channel,Specialty Stores,0.08,2026,1652.103189
North America,United States,Distribution Channel,Specialty Stores,0.08,2027,1783.824543
North America,United States,Distribution Channel,Specialty Stores,0.08,2028,1929.605224
North America,United States,Distribution Channel,Specialty Stores,0.08,2029,2091.147824
North America,United States,Distribution Channel,Specialty Stores,0.08,2030,2270.385028
North America,United States,Distribution Channel,Online,0.09,2017,840.7430556
North America,United States,Distribution Channel,Online,0.09,2018,912.3733959
North America,United States,Distribution Channel,Online,0.09,2019,992.1844145
North America,United States,Distribution Channel,Online,0.09,2020,984.8458834
North America,United States,Distribution Channel,Online,0.09,2021,955.7818875
North America,United States,Distribution Channel,Online,0.09,2022,1036.198192
North America,United States,Distribution Channel,Online,0.09,2023,1125.164759
North America,United States,Distribution Channel,Online,0.09,2024,1223.717233
North America,United States,Distribution Channel,Online,0.09,2025,1333.029999
North America,United States,Distribution Channel,Online,0.09,2026,1454.436357
North America,United States,Distribution Channel,Online,0.09,2027,1589.451847
North America,United States,Distribution Channel,Online,0.09,2028,1739.801245
North America,United States,Distribution Channel,Online,0.09,2029,1907.449829
North America,United States,Distribution Channel,Online,0.09,2030,2094.639652
North America,United States,Distribution Channel,Others,0.07,2017,1443.081372
North America,United States,Distribution Channel,Others,0.07,2018,1520.975906
North America,United States,Distribution Channel,Others,0.07,2019,1605.860235
North America,United States,Distribution Channel,Others,0.07,2020,1150.759656
North America,United States,Distribution Channel,Others,0.07,2021,1210.980973
North America,United States,Distribution Channel,Others,0.07,2022,1277.789969
North America,United States,Distribution Channel,Others,0.07,2023,1359.89782
North America,United States,Distribution Channel,Others,0.07,2024,1449.791983
North America,United States,Distribution Channel,Others,0.07,2025,1548.303155
North America,United States,Distribution Channel,Others,0.07,2026,1656.362733
North America,United States,Distribution Channel,Others,0.07,2027,1775.016064
North America,United States,Distribution Channel,Others,0.07,2028,1905.437598
North America,United States,Distribution Channel,Others,0.07,2029,2048.948197
North America,United States,Distribution Channel,Others,0.07,2030,2207.034951
North America,Rest of North America,Product,Spring Water,0.07,2017,249.9403951
North America,Rest of North America,Product,Spring Water,0.07,2018,264.6373074
North America,Rest of North America,Product,Spring Water,0.07,2019,280.7839704
North America,Rest of North America,Product,Spring Water,0.07,2020,202.2666697
North America,Rest of North America,Product,Spring Water,0.07,2021,214.0997508
North America,Rest of North America,Product,Spring Water,0.07,2022,227.2607524
North America,Rest of North America,Product,Spring Water,0.07,2023,241.6781525
North America,Rest of North America,Product,Spring Water,0.07,2024,257.4859572
North America,Rest of North America,Product,Spring Water,0.07,2025,274.8346231
North America,Rest of North America,Product,Spring Water,0.07,2026,293.8932534
North America,Rest of North America,Product,Spring Water,0.07,2027,314.8521124
North America,Rest of North America,Product,Spring Water,0.07,2028,337.9255088
North America,Rest of North America,Product,Spring Water,0.07,2029,363.3551032
North America,Rest of North America,Product,Spring Water,0.07,2030,391.413708
North America,Rest of North America,Product,Sparkling Water,0.08,2017,151.6021873
North America,Rest of North America,Product,Sparkling Water,0.08,2018,161.8366158
North America,Rest of North America,Product,Sparkling Water,0.08,2019,173.1182965
North America,Rest of North America,Product,Sparkling Water,0.08,2020,125.7269367
North America,Rest of North America,Product,Sparkling Water,0.08,2021,134.1658875
North America,Rest of North America,Product,Sparkling Water,0.08,2022,143.5691328
North America,Rest of North America,Product,Sparkling Water,0.08,2023,153.9124116
North America,Rest of North America,Product,Sparkling Water,0.08,2024,165.3021497
North America,Rest of North America,Product,Sparkling Water,0.08,2025,177.8583873
North America,Rest of North America,Product,Sparkling Water,0.08,2026,191.7166752
North America,Rest of North America,Product,Sparkling Water,0.08,2027,207.0302563
North America,Rest of North America,Product,Sparkling Water,0.08,2028,223.972577
North America,Rest of North America,Product,Sparkling Water,0.08,2029,242.7401841
North America,Rest of North America,Product,Sparkling Water,0.08,2030,263.5560673
North America,Rest of North America,Product,Mineral Water,0.07,2017,349.1249602
North America,Rest of North America,Product,Mineral Water,0.07,2018,370.1593296
North America,Rest of North America,Product,Mineral Water,0.07,2019,393.2830255
North America,Rest of North America,Product,Mineral Water,0.07,2020,283.6968827
North America,Rest of North America,Product,Mineral Water,0.07,2021,300.7086009
North America,Rest of North America,Product,Mineral Water,0.07,2022,319.6360005
North America,Rest of North America,Product,Mineral Water,0.07,2023,340.3864963
North America,Rest of North America,Product,Mineral Water,0.07,2024,363.1568966
North America,Rest of North America,Product,Mineral Water,0.07,2025,388.1683804
North America,Rest of North America,Product,Mineral Water,0.07,2026,415.6697803
North America,Rest of North America,Product,Mineral Water,0.07,2027,445.9413469
North America,Rest of North America,Product,Mineral Water,0.07,2028,479.2990672
North America,Rest of North America,Product,Mineral Water,0.07,2029,516.0996263
North America,Rest of North America,Product,Mineral Water,0.07,2030,556.7461122
North America,Rest of North America,Product,Others,0.07,2017,58.3504206
North America,Rest of North America,Product,Others,0.07,2018,62.03907574
North America,Rest of North America,Product,Others,0.07,2019,66.0989468
North America,Rest of North America,Product,Others,0.07,2020,47.81408135
North America,Rest of North America,Product,Others,0.07,2021,50.82275684
North America,Rest of North America,Product,Others,0.07,2022,54.17243806
North America,Rest of North America,Product,Others,0.07,2023,57.85015858
North America,Rest of North America,Product,Others,0.07,2024,61.89210923
North America,Rest of North America,Product,Others,0.07,2025,66.33903083
North America,Rest of North America,Product,Others,0.07,2026,71.23683699
North America,Rest of North America,Product,Others,0.07,2027,76.63732916
North America,Rest of North America,Product,Others,0.07,2028,82.59901862
North America,Rest of North America,Product,Others,0.07,2029,89.18807234
North America,Rest of North America,Product,Others,0.07,2030,96.47940264
North America,Rest of North America,Distribution Channel,Supermarkets & Hypermarkets,0.07,2017,339.752123
North America,Rest of North America,Distribution Channel,Supermarkets & Hypermarkets,0.07,2018,359.2844403
North America,Rest of North America,Distribution Channel,Supermarkets & Hypermarkets,0.07,2019,380.7359027
North America,Rest of North America,Distribution Channel,Supermarkets & Hypermarkets,0.07,2020,240.98297
North America,Rest of North America,Distribution Channel,Supermarkets & Hypermarkets,0.07,2021,268.5820871
North America,Rest of North America,Distribution Channel,Supermarkets & Hypermarkets,0.07,2022,284.6752312
North America,Rest of North America,Distribution Channel,Supermarkets & Hypermarkets,0.07,2023,301.2505473
North America,Rest of North America,Distribution Channel,Supermarkets & Hypermarkets,0.07,2024,319.3830341
North America,Rest of North America,Distribution Channel,Supermarkets & Hypermarkets,0.07,2025,339.2346638
North America,Rest of North America,Distribution Channel,Supermarkets & Hypermarkets,0.07,2026,360.9869808
North America,Rest of North America,Distribution Channel,Supermarkets & Hypermarkets,0.07,2027,384.8436699
North America,Rest of North America,Distribution Channel,Supermarkets & Hypermarkets,0.07,2028,411.0334909
North America,Rest of North America,Distribution Channel,Supermarkets & Hypermarkets,0.07,2029,439.8136373
North America,Rest of North America,Distribution Channel,Supermarkets & Hypermarkets,0.07,2030,471.4735826
North America,Rest of North America,Distribution Channel,Specialty Stores,0.08,2017,167.1897727
North America,Rest of North America,Distribution Channel,Specialty Stores,0.08,2018,177.8707522
North America,Rest of North America,Distribution Channel,Specialty Stores,0.08,2019,189.6306651
North America,Rest of North America,Distribution Channel,Specialty Stores,0.08,2020,137.2606168
North America,Rest of North America,Distribution Channel,Specialty Stores,0.08,2021,145.9908852
North America,Rest of North America,Distribution Channel,Specialty Stores,0.08,2022,155.7128965
North America,Rest of North America,Distribution Channel,Specialty Stores,0.08,2023,166.391339
North America,Rest of North America,Distribution Channel,Specialty Stores,0.08,2024,178.132304
North America,Rest of North America,Distribution Channel,Specialty Stores,0.08,2025,191.0552766
North America,Rest of North America,Distribution Channel,Specialty Stores,0.08,2026,205.294977
North America,Rest of North America,Distribution Channel,Specialty Stores,0.08,2027,221.003475
North America,Rest of North America,Distribution Channel,Specialty Stores,0.08,2028,238.3526229
North America,Rest of North America,Distribution Channel,Specialty Stores,0.08,2029,257.5368551
North America,Rest of North America,Distribution Channel,Specialty Stores,0.08,2030,278.7764163
North America,Rest of North America,Distribution Channel,Online,0.09,2017,120.3498836
North America,Rest of North America,Distribution Channel,Online,0.09,2018,130.3826264
North America,Rest of North America,Distribution Channel,Online,0.09,2019,141.5477491
North America,Rest of North America,Distribution Channel,Online,0.09,2020,130.7138058
North America,Rest of North America,Distribution Channel,Online,0.09,2021,127.0131548
North America,Rest of North America,Distribution Channel,Online,0.09,2022,137.6091622
North America,Rest of North America,Distribution Channel,Online,0.09,2023,149.3188999
North America,Rest of North America,Distribution Channel,Online,0.09,2024,162.2760234
North America,Rest of North America,Distribution Channel,Online,0.09,2025,176.6319221
North America,Rest of North America,Distribution Channel,Online,0.09,2026,192.5582761
North America,Rest of North America,Distribution Channel,Online,0.09,2027,210.2500083
North America,Rest of North America,Distribution Channel,Online,0.09,2028,229.9286967
North America,Rest of North America,Distribution Channel,Online,0.09,2029,251.8465228
North America,Rest of North America,Distribution Channel,Online,0.09,2030,276.2908453
North America,Rest of North America,Distribution Channel,Others,0.07,2017,181.7261839
North America,Rest of North America,Distribution Channel,Others,0.07,2018,191.1345098
North America,Rest of North America,Distribution Channel,Others,0.07,2019,201.3699222
North America,Rest of North America,Distribution Channel,Others,0.07,2020,150.5471777
North America,Rest of North America,Distribution Channel,Others,0.07,2021,158.210869
North America,Rest of North America,Distribution Channel,Others,0.07,2022,166.6410339
North America,Rest of North America,Distribution Channel,Others,0.07,2023,176.8664328
North America,Rest of North America,Distribution Channel,Others,0.07,2024,188.0457513
North America,Rest of North America,Distribution Channel,Others,0.07,2025,200.2785592
North America,Rest of North America,Distribution Channel,Others,0.07,2026,213.6763121
North America,Rest of North America,Distribution Channel,Others,0.07,2027,228.3638915
North America,Rest of North America,Distribution Channel,Others,0.07,2028,244.4813612
North America,Rest of North America,Distribution Channel,Others,0.07,2029,262.1859707
North America,Rest of North America,Distribution Channel,Others,0.07,2030,281.654446
Europe,Germany,Product,Spring Water,0.05,2017,498.1808956
Europe,Germany,Product,Spring Water,0.05,2018,518.9186029
Europe,Germany,Product,Spring Water,0.05,2019,541.5787021
Europe,Germany,Product,Spring Water,0.05,2020,383.704107
Europe,Germany,Product,Spring Water,0.05,2021,399.4027613
Europe,Germany,Product,Spring Water,0.05,2022,416.8503099
Europe,Germany,Product,Spring Water,0.05,2023,435.8026809
Europe,Germany,Product,Spring Water,0.05,2024,456.3907616
Europe,Germany,Product,Spring Water,0.05,2025,478.7594631
Europe,Germany,Product,Spring Water,0.05,2026,503.0692818
Europe,Germany,Product,Spring Water,0.05,2027,529.4980538
Europe,Germany,Product,Spring Water,0.05,2028,558.2429254
Europe,Germany,Product,Spring Water,0.05,2029,589.5225682
Europe,Germany,Product,Spring Water,0.05,2030,623.57967
Europe,Germany,Product,Sparkling Water,0.06,2017,317.3489265
Europe,Germany,Product,Sparkling Water,0.06,2018,333.2117013
Europe,Germany,Product,Sparkling Water,0.06,2019,350.5443591
Europe,Germany,Product,Sparkling Water,0.06,2020,250.338575
Europe,Germany,Product,Sparkling Water,0.06,2021,262.6527728
Europe,Germany,Product,Sparkling Water,0.06,2022,276.2997453
Europe,Germany,Product,Sparkling Water,0.06,2023,291.1452198
Europe,Germany,Product,Sparkling Water,0.06,2024,307.302542
Europe,Germany,Product,Sparkling Water,0.06,2025,324.897597
Europe,Germany,Product,Sparkling Water,0.06,2026,344.0702878
Europe,Germany,Product,Sparkling Water,0.06,2027,364.9762038
Europe,Germany,Product,Sparkling Water,0.06,2028,387.7885017
Europe,Germany,Product,Sparkling Water,0.06,2029,412.7000307
Europe,Germany,Product,Sparkling Water,0.06,2030,439.9257312
Europe,Germany,Product,Mineral Water,0.05,2017,683.1588835
Europe,Germany,Product,Mineral Water,0.05,2018,712.564566
Europe,Germany,Product,Mineral Water,0.05,2019,744.6959452
Europe,Germany,Product,Mineral Water,0.05,2020,528.3338058
Europe,Germany,Product,Mineral Water,0.05,2021,550.7058355
Europe,Germany,Product,Mineral Water,0.05,2022,575.5559414
Europe,Germany,Product,Mineral Water,0.05,2023,602.5571636
Europe,Germany,Product,Mineral Water,0.05,2024,631.8999246
Europe,Germany,Product,Mineral Water,0.05,2025,663.7951933
Europe,Germany,Product,Mineral Water,0.05,2026,698.4768036
Europe,Germany,Product,Mineral Water,0.05,2027,736.2040604
Europe,Germany,Product,Mineral Water,0.05,2028,777.2646711
Europe,Germany,Product,Mineral Water,0.05,2029,821.9780427
Europe,Germany,Product,Mineral Water,0.05,2030,870.6989948
Europe,Germany,Product,Others,0.06,2017,129.6570291
Europe,Germany,Product,Others,0.06,2018,135.5983873
Europe,Germany,Product,Others,0.06,2019,142.0903879
Europe,Germany,Product,Others,0.06,2020,101.0762163
Europe,Germany,Product,Others,0.06,2021,105.6366406
Europe,Germany,Product,Others,0.06,2022,110.6970984
Europe,Germany,Product,Others,0.06,2023,116.1984173
Europe,Germany,Product,Others,0.06,2024,122.1808101
Europe,Germany,Product,Others,0.06,2025,128.6888788
Europe,Germany,Product,Others,0.06,2026,135.7721209
Europe,Germany,Product,Others,0.06,2027,143.4854987
Europe,Germany,Product,Others,0.06,2028,151.8900805
Europe,Germany,Product,Others,0.06,2029,161.0537636
Europe,Germany,Product,Others,0.06,2030,171.0520894
Europe,Germany,Distribution Channel,Supermarkets & Hypermarkets,0.04,2017,667.7988333
Europe,Germany,Distribution Channel,Supermarkets & Hypermarkets,0.04,2018,695.2268843
Europe,Germany,Distribution Channel,Supermarkets & Hypermarkets,0.04,2019,725.2040887
Europe,Germany,Distribution Channel,Supermarkets & Hypermarkets,0.04,2020,450.420889
Europe,Germany,Distribution Channel,Supermarkets & Hypermarkets,0.04,2021,494.6629334
Europe,Germany,Distribution Channel,Supermarkets & Hypermarkets,0.04,2022,515.8967575
Europe,Germany,Distribution Channel,Supermarkets & Hypermarkets,0.04,2023,534.3092685
Europe,Germany,Distribution Channel,Supermarkets & Hypermarkets,0.04,2024,554.322465
Europe,Germany,Distribution Channel,Supermarkets & Hypermarkets,0.04,2025,576.0610713
Europe,Germany,Distribution Channel,Supermarkets & Hypermarkets,0.04,2026,599.6629104
Europe,Germany,Distribution Channel,Supermarkets & Hypermarkets,0.04,2027,625.2802532
Europe,Germany,Distribution Channel,Supermarkets & Hypermarkets,0.04,2028,653.0813289
Europe,Germany,Distribution Channel,Supermarkets & Hypermarkets,0.04,2029,683.2520157
Europe,Germany,Distribution Channel,Supermarkets & Hypermarkets,0.04,2030,715.9977307
Europe,Germany,Distribution Channel,Specialty Stores,0.06,2017,344.1901858
Europe,Germany,Distribution Channel,Specialty Stores,0.06,2018,360.328522
Europe,Germany,Distribution Channel,Specialty Stores,0.06,2019,377.964997
Europe,Germany,Distribution Channel,Specialty Stores,0.06,2020,269.1408927
Europe,Germany,Distribution Channel,Specialty Stores,0.06,2021,281.5724658
Europe,Germany,Distribution Channel,Specialty Stores,0.06,2022,295.3641539
Europe,Germany,Distribution Channel,Specialty Stores,0.06,2023,310.3621586
Europe,Germany,Distribution Channel,Specialty Stores,0.06,2024,326.6777852
Europe,Germany,Distribution Channel,Specialty Stores,0.06,2025,344.4345572
Europe,Germany,Distribution Channel,Specialty Stores,0.06,2026,363.769636
Europe,Germany,Distribution Channel,Specialty Stores,0.06,2027,384.8354204
Europe,Germany,Distribution Channel,Specialty Stores,0.06,2028,407.8013501
Europe,Germany,Distribution Channel,Specialty Stores,0.06,2029,432.8559385
Europe,Germany,Distribution Channel,Specialty Stores,0.06,2030,460.2090677
Europe,Germany,Distribution Channel,Online,0.08,2017,222.1793825
Europe,Germany,Distribution Channel,Online,0.08,2018,238.1631947
Europe,Germany,Distribution Channel,Online,0.08,2019,255.7986942
Europe,Germany,Distribution Channel,Online,0.08,2020,249.6582544
Europe,Germany,Distribution Channel,Online,0.08,2021,226.1052588
Europe,Germany,Distribution Channel,Online,0.08,2022,242.2231835
Europe,Germany,Distribution Channel,Online,0.08,2023,259.7929156
Europe,Germany,Distribution Channel,Online,0.08,2024,278.9668682
Europe,Germany,Distribution Channel,Online,0.08,2025,299.9149187
Europe,Germany,Distribution Channel,Online,0.08,2026,322.8265909
Europe,Germany,Distribution Channel,Online,0.08,2027,347.9135245
Europe,Germany,Distribution Channel,Online,0.08,2028,375.412273
Europe,Germany,Distribution Channel,Online,0.08,2029,405.587475
Europe,Germany,Distribution Channel,Online,0.08,2030,438.7354516
Europe,Germany,Distribution Channel,Others,0.05,2017,394.1773331
Europe,Germany,Distribution Channel,Others,0.05,2018,406.5746565
Europe,Germany,Distribution Channel,Others,0.05,2019,419.9416143
Europe,Germany,Distribution Channel,Others,0.05,2020,294.2326681
Europe,Germany,Distribution Channel,Others,0.05,2021,316.0573522
Europe,Germany,Distribution Channel,Others,0.05,2022,325.9190001
Europe,Germany,Distribution Channel,Others,0.05,2023,341.2391389
Europe,Germany,Distribution Channel,Others,0.05,2024,357.8069199
Europe,Germany,Distribution Channel,Others,0.05,2025,375.7305849
Europe,Germany,Distribution Channel,Others,0.05,2026,395.1293568
Europe,Germany,Distribution Channel,Others,0.05,2027,416.1346186
Europe,Germany,Distribution Channel,Others,0.05,2028,438.8912266
Europe,Germany,Distribution Channel,Others,0.05,2029,463.558976
Europe,Germany,Distribution Channel,Others,0.05,2030,490.3142355
Europe,France,Product,Spring Water,0.05,2017,553.7218314
Europe,France,Product,Spring Water,0.05,2018,575.6274559
Europe,France,Product,Spring Water,0.05,2019,599.5674819
Europe,France,Product,Spring Water,0.05,2020,423.9393228
Europe,France,Product,Spring Water,0.05,2021,440.3982481
Europe,France,Product,Spring Water,0.05,2022,458.7101987
Europe,France,Product,Spring Water,0.05,2023,478.5952365
Europe,France,Product,Spring Water,0.05,2024,500.1864947
Europe,France,Product,Spring Water,0.05,2025,523.6312323
Europe,France,Product,Spring Water,0.05,2026,549.0923758
Europe,France,Product,Spring Water,0.05,2027,576.7502473
Europe,France,Product,Spring Water,0.05,2028,606.8045052
Europe,France,Product,Spring Water,0.05,2029,639.47632
Europe,France,Product,Spring Water,0.05,2030,675.0108185
Europe,France,Product,Sparkling Water,0.06,2017,351.792452
Europe,France,Product,Sparkling Water,0.06,2018,368.6448195
Europe,France,Product,Sparkling Water,0.06,2019,387.0488632
Europe,France,Product,Sparkling Water,0.06,2020,275.8557264
Europe,France,Product,Sparkling Water,0.06,2021,288.8445002
Europe,France,Product,Sparkling Water,0.06,2022,303.2403084
Europe,France,Product,Sparkling Water,0.06,2023,318.8870377
Europe,France,Product,Sparkling Water,0.06,2024,335.9003944
Europe,France,Product,Sparkling Water,0.06,2025,354.408719
Europe,France,Product,Sparkling Water,0.06,2026,374.5544506
Europe,France,Product,Sparkling Water,0.06,2027,396.4957759
Europe,France,Product,Sparkling Water,0.06,2028,420.4084868
Europe,France,Product,Sparkling Water,0.06,2029,446.4880739
Europe,France,Product,Sparkling Water,0.06,2030,474.952087
Europe,France,Product,Mineral Water,0.05,2017,758.6257003
Europe,France,Product,Mineral Water,0.05,2018,789.7076331
Europe,France,Product,Mineral Water,0.05,2019,823.6712881
Europe,France,Product,Mineral Water,0.05,2020,583.1935109
Europe,France,Product,Mineral Water,0.05,2021,606.6662051
Europe,France,Product,Mineral Water,0.05,2022,632.7614046
Europe,France,Product,Mineral Water,0.05,2023,661.1035064
Europe,France,Product,Mineral Water,0.05,2024,691.8862571
Europe,France,Product,Mineral Water,0.05,2025,725.3240904
Europe,France,Product,Mineral Water,0.05,2026,761.6544165
Europe,France,Product,Mineral Water,0.05,2027,801.1401907
Europe,France,Product,Mineral Water,0.05,2028,844.0727993
Europe,France,Product,Mineral Water,0.05,2029,890.7753007
Europe,France,Product,Mineral Water,0.05,2030,941.6060681
Europe,France,Product,Others,0.05,2017,142.7928687
Europe,France,Product,Others,0.05,2018,149.0411139
Europe,France,Product,Others,0.05,2019,155.8669007
Europe,France,Product,Others,0.05,2020,110.6553244
Europe,France,Product,Others,0.05,2021,115.4166702
Europe,France,Product,Others,0.05,2022,120.7027802
Europe,France,Product,Others,0.05,2023,126.4459025
Europe,France,Product,Others,0.05,2024,132.6867236
Europe,France,Product,Others,0.05,2025,139.4703198
Europe,France,Product,Others,0.05,2026,146.8466539
Europe,France,Product,Others,0.05,2027,154.8711336
Europe,France,Product,Others,0.05,2028,163.6052388
Europe,France,Product,Others,0.05,2029,173.1172288
Europe,France,Product,Others,0.05,2030,183.4829365
Europe,France,Distribution Channel,Supermarkets & Hypermarkets,0.04,2017,749.7914956
Europe,France,Distribution Channel,Supermarkets & Hypermarkets,0.04,2018,777.9670977
Europe,France,Distribution Channel,Supermarkets & Hypermarkets,0.04,2019,808.7816244
Europe,France,Distribution Channel,Supermarkets & Hypermarkets,0.04,2020,501.1543409
Europe,France,Distribution Channel,Supermarkets & Hypermarkets,0.04,2021,548.3108206
Europe,France,Distribution Channel,Supermarkets & Hypermarkets,0.04,2022,569.7959242
Europe,France,Distribution Channel,Supermarkets & Hypermarkets,0.04,2023,591.6433134
Europe,France,Distribution Channel,Supermarkets & Hypermarkets,0.04,2024,615.3707817
Europe,France,Distribution Channel,Supermarkets & Hypermarkets,0.04,2025,641.1305367
Europe,France,Distribution Channel,Supermarkets & Hypermarkets,0.04,2026,669.0907795
Europe,France,Distribution Channel,Supermarkets & Hypermarkets,0.04,2027,699.4373945
Europe,France,Distribution Channel,Supermarkets & Hypermarkets,0.04,2028,732.3758415
Europe,France,Distribution Channel,Supermarkets & Hypermarkets,0.04,2029,768.1332742
Europe,France,Distribution Channel,Supermarkets & Hypermarkets,0.04,2030,806.9609125
Europe,France,Distribution Channel,Specialty Stores,0.05,2017,378.7993714
Europe,France,Distribution Channel,Specialty Stores,0.05,2018,395.5746385
Europe,France,Distribution Channel,Specialty Stores,0.05,2019,413.9014577
Europe,France,Distribution Channel,Specialty Stores,0.05,2020,293.9931124
Europe,France,Distribution Channel,Specialty Stores,0.05,2021,306.8006258
Europe,France,Distribution Channel,Specialty Stores,0.05,2022,321.0176471
Europe,France,Distribution Channel,Specialty Stores,0.05,2023,336.4661642
Europe,France,Distribution Channel,Specialty Stores,0.05,2024,353.2565117
Europe,France,Distribution Channel,Specialty Stores,0.05,2025,371.5109635
Europe,France,Distribution Channel,Specialty Stores,0.05,2026,391.3650909
Europe,France,Distribution Channel,Specialty Stores,0.05,2027,412.969288
Europe,France,Distribution Channel,Specialty Stores,0.05,2028,436.4904891
Europe,France,Distribution Channel,Specialty Stores,0.05,2029,462.1141014
Europe,France,Distribution Channel,Specialty Stores,0.05,2030,490.0461814
Europe,France,Distribution Channel,Online,0.07,2017,236.8542328
Europe,France,Distribution Channel,Online,0.07,2018,252.5417556
Europe,France,Distribution Channel,Online,0.07,2019,269.7954157
Europe,France,Distribution Channel,Online,0.07,2020,265.3497956
Europe,France,Distribution Channel,Online,0.07,2021,251.9501283
Europe,France,Distribution Channel,Online,0.07,2022,268.2284005
